#version 1.0
#Date 11-13-2017
1-Oct	mitochondrial intermediate peptidase
SM41	41 kDa spicule matrix protein
SMA1	spore membrane assembly
SMA2	Meiosis-specific prospore membrane protein
SMAL1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1
SMARCAL1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1
SMARCC2_0	SWI/SNF complex subunit SMARCC2
SMARCC2_1	SWI/SNF complex subunit SMARCC2
SMB1	Sm B
SMBP2	DNA-binding protein SMUBP-2
SMC1	chromosome segregation protein SMC1
SMC2	Structural maintenance of chromosomes protein 2
SMC3	Multiprotein cohesin complex subunit
SMC4	Structural maintenance of chromosomes protein
SMC5	structural maintenance of chromosomes protein
SMC6	DNA repair protein
SMD1	mRNA splicing protein SMD1
SMD2	mRNA splicing protein
SMD3	small nuclear ribonucleoprotein Sm D3
SMD3A	Small nuclear ribonucleoprotein SmD3a
SME1	mRNA splicing protein SME1
SMF1	Manganese transporter SMF1
SMF2	Manganese transporter SMF2
SMF12	divalent metal ion transporter
SMG1	Serine/threonine-protein kinase SMG1
SMG7	Protein SMG7
SMG8	Protein SMG8
SMI1	Cell wall assembly regulator
SMI1-1	Cell wall synthesis regulation protein
SMI1-2	Cell wall synthesis regulation protein
SMI1.1	(1,3)-beta-glucan synthesis
SMK1	mitogen-activated protein kinase SMK1
SML1	ribonucleotide reductase inhibiting protein SML1
SMM1	tRNA-dihydrouridine synthase 2
SMP1	second mef2-like protein 1
SMP2	phosphatidate phosphatase
SMP3	alpha 1,2 mannosyltransferase
SMP4	Sphingomyelin phosphodiesterase
SMPD1	Sphingomyelin phosphodiesterase
SMRD1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1
SMRT	nuclear receptor coregulator
SMT3	SUMO family protein SMT3
SMU1	Serine/threonine-protein kinase SMU1
SMU1_0	Serine/threonine-protein kinase SMU1
SMU1_1	WD40 repeat-containing protein SMU1
SMU1_2	Serine/threonine-protein kinase SMU1
SMU1_3	Serine/threonine-protein kinase SMU1
SMX1	Importin-beta like gene
SMX2	Core Sm protein Sm G, spliceosomal U1, U2, U4, and U5 snRNPs component
SMX3	mRNA splicing protein SMX3
SMX4	U4/U6-U5 snRNP complex subunit
SMY1	suppressor of myo2-66
SMY2	kinesin-like protein
SMYD1	Histone-lysine N-methyltransferase SMYD1
SMYD2	N-lysine methyltransferase SMYD2
SNA1	aries arylalkylamine N-acetyltransferase
SNA3	MVB sorting of proteins to the vacuole
SNC1	SNAP receptor SNC1
SNC2	Vesicle membrane receptor protein (v-SNARE)
SND1	nuclease domain-containing protein
SNDH	L-sorbosone dehydrogenase
SNF2	transcriptional regulator
SNF3	Plasma membrane low glucose sensor
SNF4	AMP-activated serine/threonine-protein kinase regulatory subunit
SNF5	SWI/SNF chromatin-remodeling complex subunit
SNF6	chromatin remodeling Snf/Swi complex subunit
SNF7	ESCRT-III subunit protein SNF7
SNF8	ESCRT-II subunit protein SNF8
SNF11	SWI/SNF global transcription activator complex component
SNF12	SWI/SNF complex component SNF12
SNG1	nitrosoguanidine resistance protein SNG1
SNG1_0	Nitrosoguanidine resistance protein SNG1
SNG1_1	Nitrosoguanidine resistance protein SNG1
SNG1_2	Nitrosoguanidine resistance protein SNG1
SNL1	suppressor of nup116-c lethal
SNM1	SNM1-like protein
SNO3	putative glutamine amidotransferase SNO3
SNO4	glutathione-independent methylglyoxalase family protein
SNO5	pyridoxal 5'-phosphate synthase
SNP1	U1 snRNP component
SNP3	Sm-like protein
SNQ2	ATP-binding cassette transporter SNQ2
SNRK	SNF-related serine/threonine-protein kinase
SNRNP25	U11/U12 small nuclear ribonucleoprotein
SNRNP40	U5 small nuclear ribonucleoprotein
SNRNP59	U11/U12 small nuclear ribonucleoprotein
SNRNP65	U11/U12 small nuclear ribonucleoprotein
SNRNP200	U5 small nuclear ribonucleoprotein helicase
SNRPA1	U2 small nuclear ribonucleoprotein A'
SNRPB	Small nuclear ribonucleoprotein-associated protein B'
SNRPE	Small nuclear ribonucleoprotein E
SNT1	DNA-binding protein SNT1
SNT2	putative PHD type zinc finger protein with BAH domain-containing protein
SNT2101	histone deacetylase complex protein
SNT2401	histone deacetylase complex protein
SNT16201	histone deacetylase complex, SIN3 component
SNT16202	histone deacetylase complex, SIN3 component
SNU13	RNA binding protein SNU13
SNU23	U4/U6.U5 snRNP associated protein
SNU56	U1 small nuclear ribonucleoprotein component
SNU66	small nuclear ribonucleoprotein associated
SNU71	U1 snRNP component
SNU114	U5 snRNP GTPase SNU114
SNUPN	Snurportin-1
SNX3	Sorting nexin
SNX4	intercellular trafficking and secretion
SNX4_0	Sorting nexin-4
SNX4_1	Sorting nexin-4
SNX41	Sorting nexin-41
SNX41_0	Sorting nexin-41
SNX41_1	Sorting nexin-41
SNZ1	vitamin B6 biosynthesis protein
SNZ2	pyridoxine biosynthesis protein SNZ2
SNZ3	Stationary phase-induced gene family member
SNZ5	pyridoxal 5'-phosphate synthase
SOD	Superoxide dismutase [Mn], mitochondrial
SOD1	superoxide dismutase
SOD1_0	Superoxide dismutase [Cu-Zn]
SOD1_1	Superoxide dismutase [Cu-Zn]
SOD2	Mitochondrial manganese superoxide dismutase
SOD2.1	Cu/Zn superoxide dismutase
SOD2.2	Cu/Zn superoxide dismutase
SOD3.1	manganese-superoxide dismutase
SOD3.2	manganese-superoxide dismutase
SOD4.1	Manganese superoxide dismutase
SOD4.2	Mn-superoxide dismutase
SOD200	Putative Cu/Zn superoxide dismutase
SOD201	Putative Cu/Zn superoxide dismutase
SODCP	Superoxide dismutase [Cu-Zn], chloroplastic
SODM	Superoxide dismutase [Mn/Fe]
SODM1	Superoxide dismutase [Mn] 1
SODM_0	Superoxide dismutase [Mn], mitochondrial
SODM_1	Superoxide dismutase [Mn], mitochondrial
SOF1	rRNA-processing protein SOF1
SOG2	RAM signaling network component
SOH1	suppressor of hpr1
SOK2	suppressor of kinase
SOL1	suppressor of los1-1
SOL2	6-phosphogluconolactonase-like protein
SOL3	6-phosphogluconolactonase SOL3
SOL4	6-phosphogluconolactonase SOL4
SOM1	mitochondrial inner membrane peptidase subunit
SOP1	Peroxygenase
SOP4	protein SOP4
SOR1	Sorbitol dehydrogenase
SOR2	L-iditol 2-dehydrogenase SOR2
SOR3	Sorbitol dehydrogenase (L-iditol 2-dehydrogenase)
SOR4	sorbitol dehydrogenase
SOR5	Sorbitol dehydrogenase
SORD_0	Sorbitol dehydrogenase
SORD_1	Sorbitol dehydrogenase
SORD_2	Sorbitol dehydrogenase
SOU1	Sorbose reductase SOU1
SOU1-1	Peroxisomal 2,4-dienoyl-CoA reductase
SOU1-2	Peroxisomal 2,4-dienoyl-CoA reductase
SOU2	Sorbose reductase SOU2
SOV1	protein SOV1
SOX	Sulfite oxidase
SOX6	Transcription factor SOX-6
SPA2	component of the polarisome
SPAC1A6.10	tRNA threonylcarbamoyladenosine dehydratase
SPAC1F5.06	Heat shock protein 70 lhs1
SPAC3H8.02	CRAL-TRIO domain-containing protein C3H8.02
SPAC4F8.04	Brix domain-containing protein C4F8.04
SPAC4G8.04	TBC domain-containing protein C4G8.04
SPAC4G9.15	Very-long-chain 3-oxoacyl-CoA reductase
SPAC4H3.13	EKC/KEOPS complex subunit SPAC4H3.13
SPAC6G9.14	Pumilio domain-containing protein C6G9.14
SPAC521.02	DNA-dependent metalloprotease WSS1
SPAC630.10	25S rRNA adenine-N(1) methyltransferase
SPAC644.09	UPF0001 protein
SPAC664.03	RNA polymerase II-associated protein 1
SPAC823.07	Protein PER1
SPAC977.11	UPF0695 membrane protein
SPAG4	Sperm-associated antigen 4 protein
SPAP8A3.06	Splicing factor U2AF subunit
SPATA20	Spermatogenesis-associated protein 20
SPB1	AdoMet-dependent rRNA methyltransferase SPB1
SPB2	agmatine ureohydrolase (agmatinase)
SPBC2G5.01	UPF0674 endoplasmic reticulum membrane protein C2G5.01
SPBC4B4.04	Eukaryotic translation initiation factor 2A
SPBC9B6.03	FYVE-type zinc finger-containing protein C9B6.03
SPBC9B6.07	Ribosomal RNA-processing protein 1
SPBC83.09c	LIN1-like protein
SPBC119.12	GRIP domain-containing protein
SPBC119.15	GPN-loop GTPase 1
SPBC216.03	UPF0659 protein
SPBC354.10	CUE domain-containing protein
SPBC428.11	O-acetylhomoserine (thiol)-lyase
SPBC776.07	Mitochondrial acidic protein mam33
SPC1	Signal peptidase complex subunit
SPC2	signal peptidase complex subunit SPC2
SPC3	Signal peptidase complex subunit
SPC19	DASH complex subunit SPC19
SPC22	Signal peptidase complex subunit 3
SPC24	kinetochore-associated Ndc80 complex subunit SPC24
SPC25	kinetochore-associated Ndc80 complex subunit SPC25
SPC29	spindle pole component
SPC34	DASH complex subunit SPC34
SPC42	spindle pole body component SPC42
SPC72	spindle pole component
SPC97	Microtubule-nucleating Tub4p (gamma-tubulin) complex component
SPC98	Microtubule-nucleating Tub4p (gamma-tubulin) complex component
SPC105	spindle pole component
SPC110	spindle pole body component
SPCC4G3.17	HD domain-containing protein C4G3.17
SPCC126.12	Protein NIF3
SPCC297.05	DENN domain-containing protein
SPCC576.05	SAC3 family protein 1
SPCC970.06	Surfeit locus protein 4
SPCS1	Signal peptidase complex subunit 1
SPCS3	Signal peptidase complex subunit 3
SPE1	Ornithine decarboxylase
SPE2	spermidine resistance protein
SPE3	putrescine aminopropyltransferase
SPE4	Spermine synthase
SPF1	putative cation-transporting ATPase 1
SPF1.2	PF1 P-type ATPase
SPF1.3	SPF1 P-type ATPase
SPG1	septum-promoting GTP-binding protein 1
SPG3	stationary phase protein
SPG4	stationary phase protein
SPG5	stationary phase protein
SPG20	Spartin
SPH1	Sphingosine kinase
SPH2	Sphingosine kinase
SPHK1	Sphingosine kinase 1
SPI1	GPI-anchored
SPI1.1	cytochrome c heme-binding site
SPI1.2	repeat protein 2
SPI1.3	repeat protein 2
SPI_0	Serine protease inhibitor
SPI_1	Serine protease inhibitor
SPK2	diacylglycerol kinase
SPL1	Cysteine desulfurase mitochondrial
SPL2	suppressor of plc1 deletion
SPM1	Subtilisin-like proteinase Spm1
SPN1	Protein involved in RNA polymerase II transcription
SPO7	Nem1-Spo7 phosphatase regulatory subunit
SPO11	endodeoxyribonuclease
SPO12	sporulation protein
SPO13	sporulation protein
SPO14	Phospholipase D1
SPO16	sporulation protein
SPO19	meiosis-specific GPI-protein
SPO20	Meiosis-specific subunit of the t-SNARE complex
SPO21	sporulation protein
SPO22	sporulation-specific protein 22
SPO69	sporulation protein involved in sister chromatid cohesion
SPO71	sporulation protein
SPO73	Sporulation-specific protein 73
SPO74	sporulation protein
SPO75	sporulation-specific protein 75
SPO77	sporulation protein
SPP1	COMPASS (complex proteins associated with Set1p) component
SPP2	Pre-mRNA-splicing factor SPP2
SPP41	DUF3020 super family
SPP42	Pre-mRNA-splicing factor spp42
SPP381	U4/U6-U5 snRNP complex subunit SPP381
SPP382	mRNA splicing protein SPP382
SPR	Lipoprotein spr
SPR1	exo-1,3-beta-glucanase
SPR3	septin
SPR6	sporulation regulated protein
SPR28	Meiotic septin
SPRR3	Small proline-rich protein 3
SPS	2,4-dienoyl-CoA reductase
SPS1	putative protein serine/threonine kinase
SPS1-1	putative protein serine/threonine kinase
SPS1-2	putative protein serine/threonine kinase
SPS2	sporulation-specific protein 2
SPS4	sporulation-specific protein 4
SPS18	sporulation-specific protein 18
SPS19	peroxisomal 2 4-dienoyl-CoA reductase SPS19
SPS21	short-chain dehydrogenase, 2,4- dienoyl-CoA reductase
SPS22	sporulation-specific protein
SPS23	Glucose 1-dehydrogenase peroxisomal 2,4- dienoyl-CoA reductase
SPS24	peroxisomal 2,4- dienoyl-CoA reductase
SPS100	sporulation-specific cell wall maturation protein
SPT1	serine palmitoyl CoA transferase subunit LcbA
SPT2	Negative regulation of transcription
SPT3	transcriptional regulator
SPT4	transcription elongation factor SPT4
SPT4H	Transcription elongation factor SPT4
SPT5	transcription elongation factor
SPT5_0	Transcription elongation factor SPT5
SPT5_1	Transcription elongation factor SPT5
SPT5_2	Transcription elongation factor SPT5
SPT5_3	Transcription elongation factor SPT5
SPT5_4	Transcription elongation factor SPT5
SPT5_5	Transcription elongation factor SPT5
SPT5_6	Transcription elongation factor SPT5
SPT6	Nucleosome remodeling protein
SPT7	SAGA histone acetyltransferase complex subunit SPT7
SPT8	transcription factor, putative member of histone acetyltransferase SAGA complex
SPT10	protein SPT10
SPT10-1	Putative histone acetylase
SPT10-2	Putative histone acetylase
SPT14	glycosyltransferase
SPT15	TATA-binding protein
SPT16	global regulator of transcription
SPT20	histone acetyltransferase SAGA complex member
SPT21	non-specific DNA binding protein
SPT23	SPT3 Dosage dependent suppressor of Ty-induced promoter mutations-like protein
SPT-1	serine palmitoyltransferase
SPTC1	Serine palmitoyltransferase 1
SPTC2	Serine palmitoyltransferase 2
SQE1	Squalene epoxidase 1
SQLE	squalene monooxygenase
SQS1	protein SQS1
SQT1	60S ribosomal subunit assembly or modification protein
SR1A	Spherulin-1A
SR4	Spherulin-4
SR4_0	Spherulin-4
SR4_1	Spherulin-4
SR45A	Serine/arginine-rich splicing factor SR45a
SRB1	mannose-1-phosphate guanylyltransferase
SRB2	mediator of RNA polymerase II transcription subunit
SRB4	RNA polymerase II mediator complex subunit
SRB5	Mediator of RNA polymerase II transcription subunit 18
SRB6	mediator complex subunit
SRB7	RNA polymerase II mediator complex subunit
SRB8	RNA polymerase II mediator complex subunit
SRC1	inner nuclear membrane protein enriched at telomere/subtelomere region
SRD1	nucleolar protein
SRD5A2	3-oxo-5-alpha-steroid 4-dehydrogenase 2
SREBF2	Sterol regulatory element-binding protein 2
SREP	GATA factor SREP
SRF	Serum response factor
SRF1	Regulator of phospholipase D
SRL1	suppressor of rad53 null lethality
SRL2	suppressor of rad53 null lethality
SRL3	DNA-binding protein SRL3
SRM1	regulator of chromosome condensation
SRN2	ESCRT-I subunit protein SRN2
SRO7	Lethal(2) giant larvae SRO7
SRO9	suppressor of rho3
SRP1	Importin alpha subunit (Karyopherin alpha subunit) (Serine-rich RNA polymerase I suppressor protein)
SRP9	Signal recognition particle protein
SRP14	RNA-binding signal recognition particle subunit SRP14
SRP21	signal recognition particle component
SRP40	jun-like transcription factor
SRP40.1	nonribosomal protein of the nucleolus and coiled bodies
SRP40.2	Suppressor of mutant AC40 subunit of RNA polymerase I and III (high serine)
SRP40.3	putative protein similar to SRP40
SRP40.4	putative suppressor of mutant AC40 subunit of RNA polymerase I and III (high serine)
SRP54	Signal recognition particle
SRP68	signal recognition particle subunit SRP68
SRP72	Signal recognition particle core component
SRP101	Signal recognition particle (SRP) subunit
SRP102	Signal recognition particle receptor subunit beta
SRPK3	SRSF protein kinase 3
SRPK_0	Serine/threonine-protein kinase SRPK
SRPK_1	Serine/threonine-protein kinase SRPK
SRPK_2	Serine/threonine-protein kinase SRPK
SRPK_3	Serine/threonine-protein kinase SRPK
SRPK_4	Serine/threonine-protein kinase SRPK
SRPK_5	Serine/threonine-protein kinase SRPK
SRPK_6	Serine/threonine-protein kinase SRPK
SRPK_7	Serine/threonine-protein kinase SRPK
SRPK_8	Serine/threonine-protein kinase SRPK
SRPK_9	Serine/threonine-protein kinase SRPK
SRPK_10	Serine/threonine-protein kinase SRPK
SRPK_11	Serine/threonine-protein kinase SRPK
SRPK_12	Serine/threonine-protein kinase SRPK
SRPK_13	Serine/threonine-protein kinase SRPK
SRPK_14	Serine/threonine-protein kinase SRPK
SRPK_15	Serine/threonine-protein kinase SRPK
SRPR	Signal recognition particle receptor subunit alpha
SRPRB	Signal recognition particle receptor subunit beta
SRRD	SRR1-like protein
SRRM2	Serine/arginine repetitive matrix protein 2
SRS	seryl-tRNA synthetase
SRS2	DNA helicase
SRT1	ditrans,polycis-polyprenyl diphosphate synthase
SRT2	NAD-dependent protein deacetylase SRT2
SRT16201	class I sirtuins SIR2 family protein
SRT16203	class I sirtuins SIR2 family protein
SRV2	suppressor of rasval19
SRX1	Sulfiredoxin
SRY	Sex-determining region Y protein
SRY1	serine racemase
SSA1	Hsp70 family ATPase SSA1
SSA2	Hsp70 family chaperone
SSA2.1	heat shock protein 70, Hsp70 family (SSA2)
SSA2.2	heat shock protein 70
SSA3	Hsp70 family ATPase SSA3
SSA4	Hsp70 family chaperone SSA4
SSB1	Heat shock protein SSB1
SSB2	Cytoplasmic ATPase that is a ribosome-associated molecular chaperone
SSBP1	Single-stranded DNA-binding protein, mitochondrial
SSB_0	Heat shock protein SSB
SSB_1	Heat shock protein SSB
SSC1	Hsp70 family ATPase SSC1
SSC1.1	Nuclear-encoded mitochondrial protein member of the heat shock protein 70 (HSP70) family
SSC1.2	mitochondrial heat shock protein of the HSP70 family upregulated 15 fold under aerobic conditions
SSD1	Translational repressor
SSD1_0	Virulence protein SSD1
SSD1_1	Virulence protein SSD1
SSD1_2	Virulence protein SSD1
SSE1	adenyl-nucleotide exchange factor SSE1
SSE2	adenyl-nucleotide exchange factor SSE2
SSF1	rRNA-binding ribosome biosynthesis protein
SSF2	rRNA-binding ribosome biosynthesis protein
SSH1	protein involved in co-translational pathway of protein transport
SSH4	protein SSH4
SSI1_0	Subtilisin inhibitor-like protein 1
SSI1_1	Subtilisin inhibitor-like protein 1
SSI5	Subtilisin inhibitor-like protein 5
SSI_0	Protease inhibitor SIL-V1/SIL-V4
SSI_1	Alkaline protease inhibitor 2C'
SSI_2	Protease inhibitor SIL-V1/SIL-V4
SSI_3	Subtilase-type protease inhibitor
SSK1	SSK1 response regulator receiver
SSK1_2	SSK1 signal transduction response regulator
SSK2	Suppressor of Sensor Kinase (SLN1)
SSK22	MAP kinase kinase kinase
SSL1	transcription initiation factor TFIIH subunit
SSL2	DNA repair helicase RAD25
SSM4	E3 ubiquitin-protein ligase SSM4
SSN2	mediator of RNA polymerase II transcription subunit 13
SSN3	cyclin-dependent protein kinase
SSN6	glucose repression mediator protein
SSN7	transcription factor which mediates glucose repression
SSN8	RNA polymerase II holoenzyme cyclin-like subunit
SSO1	t-SNARE
SSO2	syntaxin
SSP1	protein kinase SSP1 related
SSP2	Sporulation specific protein
SSP120	protein SSP120
SSQ1	Hsp70 family ATPase SSQ1
SSRP1	FACT complex subunit SSRP1
SSS1	Sec61p translocation complex subunit
SST2	protein SST2
SSU1_0	Sulfite efflux pump SSU1
SSU1_1	Sulfite efflux pump SSU1
SSU1_2	Sulfite efflux pump SSU1
SSU72	RNA polymerase II subunit A C-terminal domain phosphatase
SSU81	osmosensor
SSY1	SPS-sensor component SSY1
SSY1.5	transcriptional regulator of multiple amino acid permeases
SSY5	SPS-sensor serine protease component SSY5
SSZ1	regulator protein
SSk1	SSK1 signal transduction response regulator
STAG1	Cohesin subunit SA-1
STB1	Sin3p binding protein
STB2	protein STB2
STB3	DNA-binding proteins Bright/BRCAA1/RBP1 and related proteins containing BRIGHT domain
STB4	binds Sin3p in two-hybrid assay
STB5	Rac GTPase-activating protein BCR/ABR
STB6	Protein STB6
STD1	transcription factor
STE2	pheromone alpha factor receptor
STE3	a-factor receptor
STE4	G protein subunit beta
STE5	scaffold protein
STE6	ATP-binding cassette alpha-factor transporter STE6
STE6-1	Plasma membrane ATP-binding cassette transporter required for the export of a-factor
STE6-2	Plasma membrane ATP-binding cassette transporter required for the export of a-factor
STE6-3	Plasma membrane ATP-binding cassette transporter required for the export of a-factor
STE7	MAP kinase kinase (MEK)
STE11	ATP binding
STE11_0	Serine/threonine-protein kinase STE11
STE11_1	HMG-box protein STE11
STE12	homeodomain family transcription factor STE12
STE13	Dipeptidyl aminopeptidase
STE14	farnesyl cysteine-carboxyl methyltransferase
STE18	Guanine nucleotide-binding protein subunit gamma
STE20	signal transducing kinase of the PAK family
STE20_0	Serine/threonine-protein kinase STE20
STE20_1	Serine/threonine-protein kinase STE20
STE23	metalloprotease
STE24	zinc metalloprotease
STE50	Protein STE50
STF1	ATPase-binding protein
STF2	ATPase stabilizing factor 15 kDa protein
STH1	RSC chromatin remodeling complex ATPase component
STI1	Hsp90 cochaperone
STK1	serine/threonine protein kinase
STK2	serine/threonine protein kinase, CMGC group
STK17A	Serine/threonine-protein kinase 17A
STK19	Serine/threonine-protein kinase 19
STK32A	Serine/threonine-protein kinase 32A
STK32A_0	Serine/threonine-protein kinase 32A
STK32A_1	Serine/threonine-protein kinase 32A
STK32B	Serine/threonine-protein kinase 32B
STK32C	Serine/threonine-protein kinase 32C
STK-HK	STKc HK Ser-Thr kinase domain related HK
STK/HK	STKc HK histidine kinase sensor protein
STKc	Serine/threonine kinase hybrid HK
STL1	sugar transporter-like protein
STL1-1	Glycerol proton symporter
STL1-2	Glycerol proton symporter
STL1-3	Glycerol proton symporter
STL1-4	Glycerol proton symporter
STL1_0	Sugar transporter STL1
STL1_1	Sugar transporter STL1
STL1_2	Sugar transporter STL1
STL1_3	Sugar transporter STL1
STL1_4	Sugar transporter STL1
STL2	Sugar transporter
STL71	glycerol proton symporter of the plasma membrane
STM1	Suppressor protein STM1
STM2	stomatin family protein
STO1	nuclear mRNA cap-binding protein complex subunit
STO100	Putative stomatin-like protein
STP1	species-specific tRNA processing
STP2	protein with similarity to stp1p
STP3	Zinc finger protein
STP4	tRNA splicing, uptake of branched- chain amino acids
STP22	suppressor protein STP22 of temperature-sensitive alpha-factor receptor and arginine permease
STR2	Cystathionine gamma-synthase
STR3	cystathionine beta-lyase
STR17	Rhodanese-like domain-containing protein 17
STRA13	Centromere protein X
STRAP	Serine-threonine kinase receptor-associated protein
STRIP1	Striatin-interacting protein 1
STRN3	Striatin-3
STRN4	Striatin-4
STS1	protein DBF8
STT3	oligosaccharyl transferase STT3 subunit
STT4	phosphatidylinositol-4- kinase involved in protein kinase C pathway
STU1	suppressor of tub2 mutation
STU1_0	Protein STU1
STU1_1	Protein STU1
STU2	protein STU2
STUB1	STIP1 y and U box-containing protein 1
STV1	H(+)-transporting V0 sector ATPase subunit a
STX10	Syntaxin-10
STX12	Syntaxin-12
STX18	Syntaxin-18
STXB3	Syntaxin-binding protein 3
STY2942	Putative glycoporin
STYX	Serine/threonine/tyrosine-interacting protein
SUA5	protein SUA5
SUA7	transcription initiation factor IIB
SUA71	transcription factor TFIIB
SUB1	Transcriptional coactivator
SUB2	Suppressor of the cold-sensitive snRNP biogenesis mutant brr1-1
SUB8_0	Subtilisin-like protease 8
SUB8_1	Subtilisin-like protease 8
SUC1	transcription factor
SUC1.1	zinc finger protein
SUC1.2	Fungal transcriptional regulatory protein
SUC1.3	putative sucrose utilization protein SUC1
SUC1.4	putative sucrose utilization protein
SUC1.5	putative sucrose utilization protein (SUC1) or maltose fermentation regulatory protein (MAL13)
SUC2	beta-fructofuranosidase SUC2
SUC72	invertase
SUDS3	Sin3 histone deacetylase corepressor complex component SDS3
SUE1	PET20 super family
SUFE	SufE-like protein
SUFE1	SufE-like protein 1, chloroplastic/mitochondrial
SUGCT	Succinate--hydroxymethylglutarate CoA-transferase
SUGT1	Suppressor of G2 allele of SKP1
SUI1	Eukaryotic translation initiation factor eIF-1
SUI1-1	Translation initiation factor eIF-1
SUI1-2	Translation initiation factor eIF-1
SUI1A	Protein translation factor SUI1
SUI2	eukaryotic translation initiation factor 2 subunit alpha
SUI3	translation initiation factor eIF-2 beta subunit
SUL1	sulfate permease
SUL2	sulfate permease
SUL4	Putative sulfate transporter
SULTR1	sulfate transporter
SUM1	suppresor of mar1-1
SUMO3	Small ubiquitin-related modifier 3
SUN5	SUN domain-containing protein 5
SUOX	Sulfite oxidase
SUP35	translation termination factor GTPase eRF3
SUP35_0	Eukaryotic peptide chain release factor GTP-binding subunit
SUP35_1	Eukaryotic peptide chain release factor GTP-binding subunit
SUP35_2	Eukaryotic peptide chain release factor GTP-binding subunit
SUP45	eRF1
SUPT5H	Transcription elongation factor SPT5
SUR1	zinc-finger protein
SUR2	Sphingolipid C4-hydroxylase SUR2
SUR2.2	C-4 methyl sterol oxidase
SUR4	elongation of fatty acids protein 3
SUR7	Eisosomes component
SURA	Chaperone surA
SURF1	Surfeit locus protein 1
SUS1	SAGA histone acetylase and TREX-2 complexes component
SUT1	general substrate transporter
SUT2	sugar transporter
SUT3	Sugar UpTake (tentative)
SUT4	sugar transporter protein
SUV3	RNA helicase
SVF1	Putative cell survival pathways protein
SVL3	styryl dye vacuolar localization protein 3
SVP26	erv26 super family
SVS1	suppressor of vanadate sensitivity
SWA2	auxilin-like clathrin-binding protein required for normal clathrin function
SWC3	SWR1-complex protein 3
SWC4	swr complex subunit
SWC5	swr complex subunit
SWC7	SWR1-complex protein 7
SWD1	chromatin binding protein
SWD2	member of Set1p complex, histone methyl transferase
SWD3	WD domain protein
SWDA2401	COMPASS, Set1C complex protein
SWDA16201	COMPASS complex protein
SWDB2101	histone H3 methyltransferase complex and RNA cleavage factor II complex, subunit SWD2
SWDB2401	histone H3 methyltransferase complex and RNA cleavage factor II complex, subunit SWD2
SWDC2401	WD40 repeat protein
SWE1	mitosis inhibitor protein kinase SWE1
SWF1	palmitoyltransferase SWF1
SWF3	coiled-coil membrane protein
SWH1	oxysterol-binding protein related protein SWH1
SWI1	component of SWI/SNF global activator complex
SWI3	transcription factor
SWI3B	SWI/SNF complex subunit SWI3B
SWI4	transcription factor
SWI5	SWI5-like zinc finger protein
SWI6	transcriptional regulator SWI6
SWI10	Mating-type switching protein swi10
SWM1	anaphase-promoting complex subunit
SWP1	dolichyl-diphosphooligosaccharide-protein glycotransferase
SWP82	swi/snf-associated protein
SWR1	SWR1 complex component
SWRCA2101	SWR1-complex protein 4
SWT1	RNA endoribonuclease
SXM1	suppressor of mRNA export mutant
SYA	Alanyl-tRNA synthetase, mitochondrial
SYA1	Alanyl-tRNA synthetase (Alanine--tRNA ligase) (AlaRS)
SYAP1	Synapse-associated protein 1
SYC1	cleavage polyadenylation factor subunit SYC1
SYCC	Cysteinyl-tRNA synthetase, cytoplasmic
SYE	Glutamyl-tRNA synthetase
SYE1	glutamine-tRNA ligase
SYEC	cytoplasmic glutamyl-tRNA synthetase
SYEP	Bifunctional aminoacyl-tRNA synthetase
SYF1	pre-mRNA-splicing factor SYF1
SYF2	pre-mRNA-splicing factor SYF2
SYFA	Phenylalanyl-tRNA synthetase alpha chain
SYFB	Phenylalanyl-tRNA synthetase beta chain
SYG	Glycyl-tRNA synthetase
SYG1	protein SYG1
SYH	histidyl-tRNA synthetase
SYI	Isoleucyl-tRNA synthetase
SYIC	Isoleucyl-tRNA synthetase, cytoplasmic
SYJ1	Synaptojanin like protein 1
SYK	Lysyl-tRNA synthetase
SYLC	cytoplasmic leucyl-tRNA synthetase
SYM	Methionyl-tRNA synthetase
SYM1	Protein required for ethanol metabolism
SYM1_0	Protein SYM1
SYM1_1	Protein SYM1
SYMC	methionyl-tRNA synthetase, cytoplasmic
SYN3	Asparaginyl-tRNA synthetase, cytoplasmic (Asparagine--tRNA ligase) (AsnRS)
SYN4	asparaginyl-tRNA synthetase
SYN8	Endosome SNARE
SYNC	Asparaginyl-tRNA synthetase, cytoplasmic
SYO1	Transport adaptor or symportin
SYP1	Suppressor of Yeast Profilin deletion
SYP22_0	Syntaxin-22
SYP22_1	Syntaxin-22
SYP51	Syntaxin-51
SYP52	Syntaxin-52
SYP61	Syntaxin-61
SYQ	glutaminyl-tRNA synthetase
SYR1	arginyl-tRNA synthetase
SYR2	sphinganine c-4-hydroxylase
SYRC	Arginyl-tRNA synthetase, cytoplasmic
SYS1	Integral membrane protein SYS1-related
SYSC	Seryl-tRNA synthetase, cytoplasmic
SYT1	Arf family guanine nucleotide exchange factor SYT1
SYT4	Synaptotagmin-4
SYT5_0	Synaptotagmin-5
SYT5_1	Synaptotagmin-5
SYTC	Threonyl-tRNA synthetase, cytoplasmic
SYVC	valyl-tRNA synthetase, cytoplasmic
